Record_ID,State,Area_Type,Population,Health_Facilities,Doctors_per_1000,Nurses_per_1000,Insurance_Coverage_pct,Immunization_Coverage_pct,Skilled_Birth_Attendance_pct,Out_of_Pocket_Expenditure_pct,Improved_Water_Access_pct,Electricity_Availability_pct,Avg_Travel_Time_to_Facility_min,UHC_Readiness_Index,Readiness_Category
1343,Katsina,Rural,747578,372,2.48,5.62,34.3,80.5,42.2,61.2,58.0,69.1,110.7,63.7,Moderate
1344,Abia,Urban,3553760,113,3.49,10.77,57.3,50.8,92.2,71.0,92.1,48.2,115.6,86.8,High
1345,Imo,Rural,2900317,75,0.32,1.78,19.8,82.4,42.6,77.1,96.7,71.7,83.9,42.7,Low
1346,Kogi,Rural,285303,482,1.56,1.0,71.3,45.9,60.6,32.4,38.9,67.0,10.7,63.5,Moderate
1347,Enugu,Urban,75201,578,2.35,10.04,6.0,98.0,49.9,64.0,44.9,44.0,88.0,66.9,Moderate
1348,Benue,Urban,2875373,366,1.25,11.28,74.9,65.3,64.9,65.4,82.5,25.1,67.4,72.3,Moderate
1349,Anambra,Rural,4134352,1176,3.36,4.63,65.1,54.4,55.8,56.9,40.1,48.5,13.1,77.9,High
1350,Ondo,Rural,2254257,100,3.29,0.65,3.6,73.7,95.1,79.1,67.8,25.8,49.5,65.0,Moderate
1351,Kaduna,Rural,4924227,777,2.74,10.8,84.7,69.6,77.9,28.1,91.4,37.2,27.3,96.1,High
1352,Kogi,Urban,661349,1020,3.02,0.74,34.6,67.1,82.4,75.0,53.1,20.6,23.5,66.1,Moderate
1353,Edo,Urban,1885722,463,0.78,4.86,23.2,93.0,42.7,26.9,67.1,34.5,12.0,58.9,Moderate
1354,Kogi,Urban,97132,1117,1.11,10.34,7.8,83.5,32.2,22.6,91.8,53.3,82.8,63.2,Moderate
1355,Abia,Rural,2856087,944,1.97,5.26,23.0,40.8,91.2,27.6,56.5,55.1,96.4,64.3,Moderate
1356,Ogun,Rural,1454983,819,1.2,10.58,48.7,86.6,67.5,41.0,69.0,34.7,24.7,75.5,High
1357,Sokoto,Urban,702110,533,0.21,11.46,21.9,79.6,90.9,71.8,91.0,31.2,47.6,64.0,Moderate
1358,Yobe,Urban,1567772,397,1.64,5.83,4.0,75.2,30.1,48.9,36.3,47.2,23.6,55.2,Moderate
1359,Sokoto,Rural,85869,759,1.54,11.51,10.2,86.9,80.1,31.1,54.3,91.9,95.4,74.6,Moderate
1360,Katsina,Rural,3996380,352,2.0,5.49,66.1,69.7,44.6,44.1,68.0,26.4,72.7,66.3,Moderate
1361,Enugu,Urban,4642669,778,2.48,1.58,48.1,42.6,33.5,84.5,53.4,38.7,66.5,52.0,Low
1362,Benue,Urban,1460304,986,2.15,2.28,77.4,68.3,41.9,53.1,52.9,89.7,104.6,63.8,Moderate
1363,Delta,Urban,2163610,191,0.61,1.12,47.7,76.3,67.0,60.6,87.9,38.1,81.2,50.1,Low
1364,Kwara,Urban,135629,269,1.01,6.1,25.1,52.5,39.1,68.7,66.2,28.7,53.5,49.1,Low
1365,Cross River,Rural,4227753,745,2.59,8.95,12.6,77.4,97.5,38.0,79.3,31.8,103.0,76.6,High
1366,Kebbi,Urban,3465488,529,2.98,1.96,74.7,54.4,79.5,22.7,83.6,30.3,15.8,81.6,High
1367,Nasarawa,Urban,4556939,469,1.42,0.53,83.7,43.4,79.4,58.7,94.5,54.8,57.9,62.9,Moderate
1368,Oyo,Rural,3221901,93,0.51,1.32,3.9,49.6,71.3,47.0,91.0,74.2,90.4,44.3,Low
1369,Jigawa,Urban,3297224,812,3.02,2.33,64.2,71.3,38.2,71.0,48.2,86.5,90.3,66.8,Moderate
1370,Kwara,Rural,3348872,953,0.61,7.03,68.5,52.0,38.2,51.6,64.6,49.0,69.1,56.2,Moderate
1371,Anambra,Rural,4925572,597,3.34,10.59,5.4,53.8,57.2,29.9,69.4,83.5,46.6,83.3,High
1372,FCT,Rural,2933918,27,2.74,9.51,26.9,42.1,96.6,45.4,43.5,44.2,93.6,74.6,Moderate
1373,Delta,Rural,1865648,851,1.09,7.45,15.9,51.2,88.4,45.0,59.9,85.9,15.2,67.4,Moderate
1374,Rivers,Urban,4527846,1019,2.35,11.08,63.3,95.5,68.3,40.8,76.5,28.0,64.2,85.5,High
1375,Bayelsa,Rural,2261821,461,3.32,7.33,59.0,45.8,73.0,46.5,74.1,77.2,109.4,81.0,High
1376,Kwara,Urban,3109077,1098,0.74,4.4,21.9,47.9,96.6,84.3,95.4,97.0,26.5,60.0,Moderate
1377,Sokoto,Rural,3452988,67,0.86,3.32,80.8,96.0,32.4,64.8,35.4,75.8,47.1,58.4,Moderate
1378,Osun,Rural,4972657,559,1.34,8.77,32.7,67.5,80.2,79.5,68.9,41.2,43.0,65.7,Moderate
1379,Jigawa,Rural,3293532,1039,2.54,11.34,78.0,59.8,43.8,82.9,60.1,64.6,119.0,74.3,Moderate
1380,Abia,Rural,2619845,1050,1.37,9.78,37.8,93.5,38.7,31.5,49.7,21.7,85.2,64.2,Moderate
1381,Edo,Urban,2059315,37,0.35,4.43,65.1,75.2,52.3,81.1,69.7,51.4,102.1,49.1,Low
1382,Kaduna,Urban,2271067,1125,1.61,11.78,13.3,61.7,79.5,84.2,48.3,50.4,112.3,61.9,Moderate
1383,Anambra,Rural,4802744,855,2.06,3.35,76.5,95.5,86.3,39.6,51.9,44.4,87.6,73.9,Moderate
1384,Sokoto,Rural,1450999,300,0.81,9.36,20.8,96.7,77.0,21.2,66.9,74.2,19.0,74.5,Moderate
1385,Jigawa,Urban,3681810,1045,3.27,1.41,62.6,66.4,93.2,56.2,52.0,36.5,98.8,72.4,Moderate
1386,Adamawa,Rural,2914182,312,2.8,3.49,72.1,78.4,76.8,23.2,64.3,70.8,23.8,85.5,High
1387,Anambra,Urban,3045655,322,0.82,5.61,39.6,74.1,57.6,41.1,43.0,57.0,17.8,60.8,Moderate
1388,Delta,Rural,1544693,272,2.86,11.22,7.2,94.7,55.4,62.2,75.4,23.6,7.9,80.4,High
1389,Borno,Urban,3388632,1093,0.28,2.64,40.4,90.0,43.4,47.7,71.7,37.9,71.0,47.7,Low
1390,Sokoto,Rural,1526481,64,2.83,8.48,43.0,49.7,32.4,27.9,56.1,47.3,86.6,71.0,Moderate
1391,Enugu,Urban,1294522,356,2.12,2.64,62.3,90.5,84.1,42.4,79.6,96.3,45.5,79.2,High
1392,Oyo,Urban,3019892,471,0.57,8.47,69.6,53.4,72.5,78.1,71.6,33.8,38.0,62.4,Moderate
1393,Rivers,Urban,3313923,1029,0.5,5.37,9.2,60.7,32.4,45.8,92.6,63.5,57.8,48.6,Low
1394,Benue,Rural,4694118,465,2.77,1.89,44.0,49.3,88.9,44.8,36.8,58.8,22.9,71.5,Moderate
1395,Imo,Rural,3426726,989,3.13,6.92,48.5,96.8,78.7,82.6,64.0,82.7,77.5,82.0,High
1396,Ebonyi,Urban,940287,608,0.74,5.59,23.8,48.6,97.6,82.7,97.8,97.6,21.3,63.2,Moderate
1397,Edo,Urban,3017377,839,0.93,2.27,48.5,79.6,81.1,30.0,86.3,98.3,77.6,65.3,Moderate
1398,Oyo,Urban,609260,244,0.25,2.6,75.7,98.6,53.3,44.2,33.4,50.8,100.8,51.5,Low
1399,Kano,Urban,4761752,673,1.88,3.62,58.7,69.0,37.2,35.4,63.5,44.9,103.5,59.8,Moderate
1400,Zamfara,Rural,3114987,800,0.56,10.72,8.0,85.7,42.0,63.0,65.1,42.7,50.9,56.3,Moderate
1401,Kwara,Urban,3641322,558,0.27,8.9,67.6,42.7,52.0,57.0,85.2,94.0,80.9,60.9,Moderate
1402,Enugu,Rural,3832081,1130,0.3,7.01,78.2,60.2,59.6,21.1,94.4,27.2,87.9,62.2,Moderate
1403,Bauchi,Rural,856094,288,1.76,9.76,7.0,87.4,86.0,21.2,41.6,97.1,81.7,75.7,High
1404,Taraba,Rural,3455635,84,2.56,1.53,27.5,95.5,69.4,68.9,59.7,94.8,51.4,68.7,Moderate
1405,Cross River,Rural,3316552,67,2.0,6.52,19.9,49.7,63.8,51.5,35.5,67.6,93.6,59.6,Moderate
1406,Enugu,Rural,1753015,246,1.64,4.4,49.9,71.3,72.9,62.2,59.0,38.7,78.3,61.6,Moderate
1407,FCT,Urban,1264097,103,2.13,7.74,33.7,58.2,32.1,53.3,80.0,65.7,43.5,67.6,Moderate
1408,Kaduna,Rural,107777,112,0.6,7.24,31.2,41.4,54.1,72.5,48.8,42.3,78.6,47.0,Low
1409,Ondo,Rural,796811,869,0.05,5.34,48.6,63.3,51.3,63.2,60.0,51.7,70.8,47.9,Low
1410,FCT,Rural,1720841,87,2.87,4.94,30.8,80.7,32.3,75.8,32.3,52.1,45.6,63.7,Moderate
1411,Kogi,Urban,4825716,788,2.08,4.94,24.6,65.2,42.9,50.2,35.5,89.7,70.0,60.7,Moderate
1412,Niger,Urban,3628298,623,0.82,2.87,59.7,75.0,79.6,31.7,54.1,32.8,23.5,62.8,Moderate
1413,Kogi,Rural,3522443,900,0.86,1.4,28.1,57.1,66.2,75.2,88.0,80.3,75.3,49.1,Low
1414,Kano,Urban,3367878,1176,0.91,11.68,64.6,91.6,95.0,39.0,45.3,76.0,95.3,78.4,High
1415,Jigawa,Rural,2262867,45,3.25,7.27,64.5,54.3,78.7,75.8,49.0,55.6,31.0,82.2,High
1416,Oyo,Urban,4878646,1101,1.86,8.27,56.6,73.1,40.1,23.1,52.6,53.2,74.6,70.8,Moderate
1417,Ondo,Urban,563415,364,2.27,10.65,50.4,95.1,36.9,30.3,96.7,98.8,92.4,83.5,High
1418,Kwara,Rural,4014604,280,0.45,6.01,5.6,59.3,92.0,53.7,43.3,69.8,95.2,50.5,Low
1419,FCT,Urban,279728,299,3.01,1.95,22.3,42.5,49.2,48.1,51.0,93.4,22.1,66.7,Moderate
1420,Nasarawa,Urban,2824677,700,3.15,10.56,10.9,85.9,44.1,76.1,53.0,51.1,46.0,75.3,High
1421,Imo,Rural,4685129,621,2.22,10.16,82.0,72.8,59.7,72.4,93.7,68.1,113.6,79.0,High
1422,Edo,Urban,3467482,332,0.7,8.5,34.9,53.1,35.0,80.7,68.0,23.8,28.5,51.7,Low
1423,Kano,Urban,3831267,1196,3.27,9.02,4.8,54.7,51.4,39.0,48.3,36.4,17.4,75.4,High
1424,Katsina,Urban,4823796,584,1.48,9.03,58.0,78.8,83.9,55.1,31.9,63.6,108.7,69.6,Moderate
1425,Osun,Rural,1629773,86,1.37,7.2,6.2,92.3,75.1,62.0,97.1,54.6,37.9,67.1,Moderate
1426,Jigawa,Rural,3328632,702,1.09,10.18,6.9,53.5,84.8,74.3,95.4,32.9,98.7,58.8,Moderate
1427,FCT,Urban,1193301,43,0.68,9.14,62.6,84.5,82.4,32.9,39.2,98.5,76.7,73.0,Moderate
1428,Bauchi,Urban,3638447,944,0.51,5.11,84.3,52.7,90.6,34.9,45.1,40.0,58.9,63.5,Moderate
1429,Anambra,Urban,2381982,768,1.31,9.88,38.3,65.2,83.5,59.6,54.0,84.3,33.6,73.5,Moderate
1430,Enugu,Rural,1155702,105,0.78,1.4,77.0,93.7,80.7,56.1,47.8,58.5,32.0,63.2,Moderate
1431,Ebonyi,Urban,1160674,609,0.49,3.9,7.7,97.4,70.1,68.2,99.0,80.9,15.4,58.5,Moderate
1432,Benue,Rural,4203973,667,0.23,4.79,38.5,91.8,58.5,74.0,75.6,63.2,88.9,50.7,Low
1433,FCT,Rural,1342568,970,2.9,5.26,53.7,89.1,94.6,31.9,48.2,50.5,78.6,82.1,High
1434,Lagos,Rural,4527641,587,2.22,4.4,74.4,43.8,40.7,58.9,85.4,66.2,84.1,65.8,Moderate
1435,Edo,Urban,1140441,183,2.51,11.02,62.2,48.7,47.1,36.2,42.9,65.3,113.2,74.9,Moderate
1436,Anambra,Urban,3861905,111,0.35,1.04,46.1,97.0,32.9,65.3,97.8,63.7,97.8,45.8,Low
1437,Imo,Rural,1544873,661,3.03,6.07,59.6,87.1,94.3,58.9,54.3,66.4,76.2,83.8,High
1438,Yobe,Rural,1574947,344,2.59,10.82,11.1,46.0,42.1,78.8,95.2,79.1,33.7,72.6,Moderate
1439,Lagos,Urban,1688284,13,0.12,10.36,14.4,46.7,42.2,64.1,77.3,40.6,106.1,45.2,Low
1440,Plateau,Rural,148512,564,2.44,9.89,18.8,57.1,50.8,77.0,87.5,44.1,101.7,65.5,Moderate
1441,Katsina,Urban,3809732,1027,1.65,9.75,2.9,62.1,77.1,69.8,77.2,25.6,93.1,60.6,Moderate
1442,Jigawa,Urban,3844591,1029,0.94,8.57,17.1,65.2,75.4,30.4,90.6,78.5,52.6,68.4,Moderate
1443,Cross River,Urban,3144435,1182,1.69,9.64,15.3,61.2,40.6,47.2,91.1,47.6,14.6,68.4,Moderate
1444,Katsina,Rural,4928526,833,2.55,2.31,51.2,46.9,52.3,76.2,94.1,52.4,9.8,67.0,Moderate
1445,Edo,Urban,3669386,782,0.85,3.31,57.5,87.9,74.6,31.2,72.9,43.4,92.9,61.1,Moderate
1446,Taraba,Urban,415822,568,0.31,8.13,53.8,41.6,76.1,42.1,43.4,77.2,30.6,62.5,Moderate
1447,Edo,Urban,3171511,616,2.03,10.29,20.6,90.5,34.4,61.8,42.2,32.0,114.2,60.9,Moderate
1448,Abia,Urban,4939292,234,1.81,10.98,11.4,62.0,40.6,48.3,58.8,59.5,51.2,66.3,Moderate
1449,Lagos,Urban,4831651,1039,1.88,3.51,46.6,63.0,98.2,68.8,87.8,73.2,9.9,73.9,Moderate
1450,Kaduna,Rural,2657114,253,3.21,6.23,55.0,68.3,87.4,53.9,83.5,95.8,78.3,86.4,High
1451,Ekiti,Urban,193510,635,2.11,8.83,20.1,78.9,37.7,29.2,94.2,83.9,25.6,76.9,High
1452,Zamfara,Urban,805374,974,2.43,1.02,15.5,54.9,45.0,83.2,49.4,58.4,63.8,50.5,Low
1453,Ebonyi,Urban,980243,1135,3.03,5.63,70.5,64.0,72.0,83.5,49.2,74.6,16.1,80.7,High
1454,Ekiti,Urban,4573484,699,0.12,3.02,37.9,64.2,80.9,68.4,78.7,24.9,45.0,48.6,Low
1455,Gombe,Urban,3030288,1142,0.72,5.05,74.5,40.2,73.6,41.2,42.4,39.3,65.9,58.0,Moderate
1456,Ogun,Urban,3886853,903,2.43,11.14,71.9,76.3,75.5,56.7,72.2,24.7,50.8,85.1,High
1457,Enugu,Urban,4107168,844,3.27,10.36,16.7,72.8,91.4,77.3,64.6,90.5,82.4,83.6,High
1458,Nasarawa,Rural,928747,517,3.16,1.46,29.9,46.7,73.5,55.3,86.0,85.3,51.3,71.5,Moderate
1459,Delta,Urban,4584581,1050,1.55,4.0,66.5,40.0,35.1,30.1,64.9,32.4,108.5,54.8,Low
1460,Adamawa,Rural,4095645,1019,2.57,3.07,76.5,67.2,71.4,75.6,66.5,45.7,112.9,67.0,Moderate
1461,Benue,Rural,2125025,163,1.38,7.98,37.1,77.1,55.5,57.8,30.4,91.0,66.9,64.3,Moderate
1462,Taraba,Urban,4588386,622,2.19,5.87,38.9,64.2,61.8,52.7,37.6,96.6,53.2,69.7,Moderate
1463,Nasarawa,Rural,1482899,734,1.26,6.22,63.0,41.0,79.4,67.6,78.4,49.8,85.0,62.2,Moderate
1464,Jigawa,Rural,125769,920,2.03,1.58,28.9,52.0,72.6,58.6,91.5,32.8,42.5,60.0,Moderate
1465,Kano,Urban,3723142,1185,2.6,10.7,50.1,75.9,60.7,60.8,39.8,68.8,53.7,80.2,High
1466,Zamfara,Rural,3452655,574,2.18,6.07,48.7,72.6,71.1,40.0,76.9,40.1,45.5,74.6,Moderate
1467,Kebbi,Urban,3394269,1200,0.31,6.35,68.6,87.3,88.4,27.3,61.9,42.8,57.7,67.6,Moderate
1468,Rivers,Rural,133154,679,1.9,6.63,84.8,57.3,70.3,21.8,50.0,20.8,74.6,73.2,Moderate
1469,Anambra,Urban,4616457,376,3.38,1.86,75.7,41.9,57.5,82.5,32.7,51.6,68.6,66.6,Moderate
1470,Akwa Ibom,Rural,4097231,634,0.98,10.09,31.8,46.2,45.3,56.2,67.2,63.9,105.6,56.5,Moderate
1471,Gombe,Urban,1303067,925,2.35,6.72,21.7,75.1,62.7,74.2,81.3,28.4,45.0,67.2,Moderate
1472,Kogi,Urban,195017,742,2.77,11.02,5.9,52.6,76.9,66.8,82.4,51.9,73.1,74.8,Moderate
1473,Ondo,Urban,4266564,992,1.39,1.62,23.7,73.4,87.0,83.6,75.9,90.9,38.8,59.7,Moderate
1474,Enugu,Rural,3173592,261,3.2,10.99,56.3,71.3,41.2,77.1,85.5,22.5,77.6,79.0,High
1475,Kebbi,Rural,4736095,830,0.21,3.62,26.5,96.0,47.4,59.1,94.7,51.1,36.5,52.0,Low
1476,Ogun,Rural,1198627,655,2.87,4.8,27.0,42.3,39.8,70.6,38.1,91.9,75.3,61.4,Moderate
1477,Kaduna,Rural,296621,539,3.27,9.33,17.3,90.5,38.6,20.5,46.3,93.6,79.5,81.6,High
1478,Benue,Urban,4532683,471,1.77,6.02,34.3,71.9,77.2,41.2,71.2,67.5,42.5,71.7,Moderate
1479,Anambra,Urban,2139911,817,1.13,6.12,8.8,48.1,53.0,42.6,37.0,75.4,104.1,49.7,Low
1480,Osun,Rural,1367455,881,0.49,2.63,9.6,91.3,94.1,70.6,46.3,81.5,21.5,55.1,Moderate
1481,Kano,Urban,2954768,296,2.71,6.66,47.3,54.5,53.9,40.9,76.6,63.8,24.7,77.9,High
1482,Anambra,Urban,3097353,641,2.51,4.1,35.7,97.7,52.6,43.9,35.8,25.3,43.6,67.5,Moderate
1483,Sokoto,Rural,990656,954,2.12,3.47,39.7,55.9,45.9,43.8,44.8,81.0,39.2,63.6,Moderate
1484,FCT,Rural,4332762,1104,0.46,7.18,60.3,97.8,61.7,36.9,88.5,67.6,9.2,72.5,Moderate
1485,Edo,Rural,364023,1060,0.15,2.75,46.0,64.9,90.3,24.5,43.9,85.2,64.9,56.7,Moderate
1486,Yobe,Rural,1593122,657,1.69,6.65,16.5,93.9,34.7,71.6,63.1,57.5,6.1,63.3,Moderate
1487,Rivers,Urban,901671,1058,2.41,4.1,12.1,80.8,58.2,74.1,44.7,45.9,31.0,61.8,Moderate
1488,Lagos,Urban,3384391,143,2.0,1.73,37.3,68.2,50.2,76.5,64.3,78.1,55.9,58.0,Moderate
1489,Kebbi,Urban,4978658,1187,3.45,3.08,69.5,48.1,71.7,36.7,55.9,82.7,35.1,83.0,High
1490,Kebbi,Urban,848592,184,2.07,0.83,5.1,42.8,71.1,42.1,45.7,21.3,109.2,46.5,Low
1491,Kano,Rural,4939207,769,1.91,5.21,45.3,93.4,41.7,39.2,49.1,94.1,94.3,66.9,Moderate
1492,Sokoto,Urban,480689,376,1.56,6.95,74.8,88.6,91.4,41.4,79.0,47.5,64.8,79.2,High
1493,Kano,Urban,3840419,177,0.54,5.57,50.5,83.1,72.0,78.3,88.4,86.2,99.3,58.7,Moderate
1494,Enugu,Rural,4213599,337,1.64,11.15,64.3,71.2,93.2,37.1,52.7,27.8,35.6,82.2,High
1495,Taraba,Urban,737161,1193,1.85,5.0,45.4,44.9,80.1,61.5,44.5,59.7,91.5,61.1,Moderate
1496,Zamfara,Urban,933875,921,0.9,11.84,42.8,71.8,49.0,79.6,69.8,90.1,7.6,70.8,Moderate
1497,Katsina,Urban,3948013,34,1.66,1.04,28.2,73.1,59.3,47.5,44.3,85.0,48.0,57.8,Moderate
1498,Abia,Urban,4518093,267,2.7,8.19,18.2,79.7,31.4,68.4,38.4,39.0,72.2,63.5,Moderate
1499,Sokoto,Rural,4538001,216,2.99,11.82,27.5,78.1,51.7,27.9,79.9,23.3,11.8,87.0,High
1500,Kebbi,Rural,1775046,786,3.0,8.75,5.5,59.3,90.7,39.5,79.3,36.3,13.0,82.3,High
1501,Anambra,Urban,2850649,1125,2.66,2.11,38.5,52.8,54.1,66.8,57.7,39.4,45.6,61.1,Moderate
1502,Kebbi,Rural,3200539,500,1.16,10.55,64.4,97.3,36.2,61.1,50.1,72.6,14.9,73.9,Moderate
1503,Cross River,Urban,4005537,1005,2.07,7.03,31.6,86.6,38.0,44.7,47.0,95.6,75.5,68.2,Moderate
1504,Edo,Urban,3218469,532,0.68,0.82,15.1,75.1,98.8,62.3,58.3,47.1,33.7,51.8,Low
1505,Enugu,Rural,4541371,623,0.93,9.9,58.7,44.5,91.6,60.5,78.1,95.8,42.2,74.6,Moderate
1506,Abia,Rural,1247137,1006,1.46,3.55,83.0,96.8,32.6,63.5,67.7,30.7,117.7,57.6,Moderate
1507,FCT,Rural,1823474,54,1.5,5.36,79.5,70.0,37.1,61.2,76.7,55.8,65.8,64.6,Moderate
1508,Abia,Urban,1502346,1045,2.03,7.11,5.7,69.2,47.9,69.2,93.3,88.0,77.1,63.6,Moderate
1509,Gombe,Rural,4560030,939,1.9,10.37,79.9,70.0,82.8,76.6,82.1,47.7,103.4,77.6,High
1510,Benue,Rural,2323221,81,0.52,6.15,39.6,92.4,31.5,82.9,85.6,95.8,118.3,51.1,Low
1511,Kogi,Urban,2013239,449,0.75,11.39,51.0,84.8,92.2,53.0,44.2,57.1,80.0,71.4,Moderate
1512,Kogi,Urban,4350428,868,1.45,9.25,39.3,88.9,36.5,66.6,71.7,69.2,18.0,69.8,Moderate
1513,Ebonyi,Urban,762968,81,3.39,2.64,12.6,47.9,48.3,30.8,32.7,40.7,80.3,61.7,Moderate
1514,Jigawa,Urban,4789782,450,2.55,4.6,40.3,40.4,82.3,24.3,33.9,74.5,84.3,70.0,Moderate
1515,Delta,Urban,2374045,1124,0.6,4.77,66.8,89.6,74.4,23.9,63.3,68.7,16.4,70.9,Moderate
1516,Edo,Urban,3180580,170,3.33,0.82,62.6,72.9,40.4,45.3,47.6,93.7,51.8,73.6,Moderate
1517,Benue,Urban,4525904,115,3.47,10.18,67.9,50.9,31.0,74.1,77.9,73.2,24.8,85.4,High
1518,Ebonyi,Urban,1320424,81,0.17,4.01,45.6,45.9,56.3,23.3,30.8,63.1,56.6,49.4,Low
1519,Taraba,Urban,133688,704,0.16,4.36,67.8,63.1,85.4,66.9,34.8,48.5,52.1,54.2,Low
1520,Osun,Urban,3921167,193,1.65,7.46,4.5,45.7,46.8,41.7,85.1,96.3,8.0,66.6,Moderate
1521,Oyo,Urban,3320278,1025,0.7,9.45,56.3,50.1,36.5,33.3,86.1,64.7,90.5,61.5,Moderate
1522,Plateau,Urban,4827139,352,0.54,1.88,68.8,55.0,90.0,66.1,49.3,52.2,17.9,57.4,Moderate
1523,FCT,Rural,2509000,279,1.94,11.92,7.7,89.2,61.4,39.9,58.1,97.7,21.6,80.7,High
1524,Adamawa,Rural,2609288,923,0.68,2.16,55.8,40.9,53.6,34.0,70.6,79.7,21.3,56.9,Moderate
1525,Cross River,Rural,3480733,171,2.8,5.96,17.0,76.4,44.4,31.9,74.3,47.9,15.9,74.2,Moderate
1526,Taraba,Rural,989077,792,2.3,7.43,26.9,72.9,97.0,64.0,48.7,47.3,84.6,70.9,Moderate
1527,Taraba,Rural,2445247,1107,0.18,1.72,49.7,46.5,95.9,54.9,93.6,27.2,97.6,48.0,Low
1528,Anambra,Urban,4245980,1086,3.1,3.44,48.1,86.7,92.7,53.4,59.1,36.9,48.6,79.1,High
1529,Akwa Ibom,Rural,2495916,1171,0.98,5.75,4.0,84.2,60.2,62.7,97.4,97.2,17.6,63.1,Moderate
1530,Ekiti,Rural,1122546,414,0.5,5.53,5.6,63.8,80.9,69.7,94.4,80.7,113.4,50.5,Low
1531,Zamfara,Rural,2722284,571,2.76,11.77,25.1,55.9,60.2,49.2,95.6,59.8,18.5,84.5,High
1532,Abia,Rural,2808622,13,1.54,2.2,73.0,49.9,98.9,33.0,80.2,74.2,90.4,69.3,Moderate
1533,Osun,Urban,983063,19,3.08,9.26,2.2,41.2,67.8,44.5,84.7,78.8,119.3,72.5,Moderate
1534,Bayelsa,Rural,4812358,321,0.06,6.49,65.8,73.5,36.2,36.4,58.0,20.2,71.7,51.7,Low
1535,Akwa Ibom,Rural,124712,1119,2.88,2.1,43.0,95.1,81.2,57.8,66.7,81.1,88.6,74.1,Moderate
1536,Lagos,Urban,390833,113,2.79,4.37,47.1,89.7,35.7,75.5,92.8,53.6,120.0,65.4,Moderate
1537,Gombe,Rural,741908,206,0.13,7.36,71.8,74.8,49.1,34.2,60.0,90.3,88.1,61.2,Moderate
1538,Kano,Urban,202430,397,1.86,1.48,9.7,75.6,74.6,65.1,52.8,31.2,70.9,52.5,Low
1539,Lagos,Rural,2427193,569,2.24,9.76,57.2,44.0,44.0,69.6,49.2,52.5,56.3,69.1,Moderate
1540,Taraba,Urban,4302987,321,3.03,5.47,14.3,43.2,34.0,29.0,90.8,77.0,98.2,66.9,Moderate
1541,Sokoto,Rural,4250990,153,3.23,8.01,44.6,75.2,82.9,82.9,40.3,90.4,21.2,85.1,High
1542,FCT,Rural,3862067,45,1.76,8.42,77.1,67.6,84.5,43.3,97.0,52.5,23.4,84.6,High
1543,Niger,Urban,1532178,680,0.08,1.5,53.4,98.6,68.6,29.1,78.4,28.5,18.4,57.3,Moderate
1544,Ogun,Rural,247397,120,1.24,0.71,57.2,92.6,37.9,22.1,62.1,33.7,11.4,60.7,Moderate
1545,Cross River,Rural,625825,728,0.34,6.96,45.4,67.0,32.0,67.0,81.4,33.9,118.1,45.8,Low
1546,Imo,Rural,3253069,104,0.36,0.84,77.1,95.8,79.4,20.7,80.7,54.4,42.4,64.7,Moderate
1547,Adamawa,Urban,789141,691,3.4,4.01,16.7,48.5,60.3,84.2,88.8,43.7,99.9,63.3,Moderate
1548,Kogi,Rural,746876,1015,0.87,4.71,61.7,87.1,97.8,82.7,51.3,86.8,34.8,67.7,Moderate
1549,Ondo,Urban,4323055,812,3.5,6.65,15.5,58.8,37.0,64.2,87.0,72.8,26.1,75.7,High
1550,Ondo,Rural,4628314,915,2.97,8.59,34.2,60.7,78.2,46.0,40.5,30.3,118.1,72.2,Moderate
1551,Abia,Urban,3512657,232,1.81,10.21,67.6,57.3,62.2,25.2,41.0,24.7,28.9,76.9,High
1552,Anambra,Rural,3567143,784,2.83,3.99,48.9,98.6,97.2,28.2,51.6,41.5,29.1,84.2,High
1553,Imo,Urban,194216,828,1.94,11.4,14.5,59.8,74.0,74.8,71.7,79.3,23.8,74.9,Moderate
1554,Yobe,Urban,4505998,310,2.33,3.68,25.5,88.3,82.9,26.6,79.0,59.0,27.5,76.6,High
1555,Edo,Urban,4481157,1068,1.65,0.53,57.5,53.8,45.5,64.0,84.4,59.5,104.4,52.0,Low
1556,Akwa Ibom,Urban,814269,339,1.01,9.72,46.6,98.6,58.0,76.3,31.3,86.9,98.9,63.6,Moderate
1557,Anambra,Rural,4478283,878,2.86,4.77,18.3,84.2,35.7,67.2,47.1,22.3,86.4,59.1,Moderate
1558,Anambra,Urban,931093,924,0.06,11.38,43.2,45.9,80.4,76.7,56.6,98.0,28.3,63.9,Moderate
1559,Oyo,Urban,2069153,229,1.95,7.31,52.2,96.5,35.5,72.5,32.2,21.0,39.2,64.4,Moderate
1560,Lagos,Urban,3026098,114,2.64,6.21,10.2,88.5,82.6,56.1,33.1,79.2,106.7,69.1,Moderate
1561,Borno,Urban,1778330,906,2.54,3.47,50.3,56.8,97.5,50.3,66.1,88.5,110.9,72.5,Moderate
1562,Abia,Rural,1204287,968,1.23,4.38,15.7,47.0,62.6,30.8,66.5,88.5,56.0,58.5,Moderate
1563,Oyo,Urban,1138660,425,2.12,1.15,20.8,46.6,58.7,47.7,68.1,60.4,94.6,53.6,Low
1564,FCT,Urban,3803136,868,2.39,10.61,50.8,98.3,47.3,51.9,38.3,35.6,44.0,78.2,High
